cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8A,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8A,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8A,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8A,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8A,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9M,p9M_A,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
29,0518,12B158,17,40339,4,1,0,01,0,0,0,0,0,1,1,2,2,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,1,2,2,2,2,2,2, ,2,99999,0,0,99999,50,3,4,4,4,3,2,2,2,2,2,1,9,1,1,1,1,2, ,1,1,2,1,1,1,5565,57,2,03,3
29,0518,12A174,17,40396,1,1,0,01,0,0,0,0,0,1,2,1,2,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,99999,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,2,2,2,1,5,INFORMA QUE NO TIENE TIEMPO POR EL TRABAJO,1,2,2,2,2,1,28175,53,1,03,3
29,0518,12A174,17,40396,2,1,0,01,0,0,0,0,0,1,2,1,1,1,2,1,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,1,2,1,2,2,2, ,2,2,2,1,1,2,2,2,2, ,2,2,2,2,2,1,2,1,2, ,2,250,250,200,0,80,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,4, ,1,1,2,1,1,1,20216,63,1,07,4
29,0518,11A174,17,40399,1,1,0,01,0,0,0,0,0,1,1,2,1,1,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,99999,99999,99999,99999,99999,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4, ,1,1,2,2,1,1,10828,47,2,06,2
29,0518,11A174,17,40399,2,1,0,01,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,99999,99999,99999,99999,99999,4,4,4,4,3,2,2,2,2,2,1,2,2,2,2,1,2, ,1,2,2,2,1,1,19776,42,1,03,3
29,0518,11A174,17,40399,3,1,0,02,0,0,0,0,0,2,1,1,1,1,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,99999,99999,99999,99999,48,1,4,1,2,2,2,2,2,2,2,1,1,1,1,1,1,4, ,1,1,1,2,1,1,16241,48,2,07,4
27,0518,12B156,18,40017,2,1,1,02,2,1,0,0,12,1,1,1,2,1,2,2,1,2,2,2,2,2, ,2,2,2,2,1,2,2,2,2, ,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,1,2,2,2, ,2,350,1500,600,300,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,1,1,1,1,1,1,13301,33,2,07,5
27,0518,12B156,18,40017,3,1,1,01,0,0,0,0,0,1,2,2,2,1,2,2,1,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,2,2,2,2,5,NO LO MOTIVARIA NADA YA QUE NO LE GUSTAN ESZTE TIPO DE EVENT,2,0,0,0,0,0,14585,50,1,08,2
27,0518,12B156,18,40017,4,1,0,02,1,1,0,0,50,1,1,1,1,1,2,2,2,2,2,2,1,2, ,2,1,2,2,2,1,1,1,2, ,2,1,2,2,2,2,2,1,2, ,2,1,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,300,1000,300,200,100,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,3, ,1,1,1,1,1,1,13301,33,2,08,2
27,0518,11B156,18,40019,3,1,1,01,0,0,0,0,0,2,1,1,2,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,1,2,2,2,2,2, ,2,0,0,0,0,0,3,3,4,4,4,2,2,2,2,2,1,2,2,2,2,2,2, ,1,2,2,2,1,1,6840,71,1,02,6
