Country,Seis meses ,Un año ,Tres meses,
Argentina,5,6,6,
Bolivia,2,5,5,
Brasil,5,6,4,
Colombia,5,5,8,
Costa Rica,4,8,7,
Chile,3,7,3,
Ecuador,4,5,4,
El Salvador,1,4,2,
Guatemala,2,3,3,
Honduras,2,2,2,
México,3,4,6,
Nicaragua,1,2,1,
Paraguay,2,3,2,
Perú,2,3,3,
Uruguay,4,6,9,
Venezuela,2,5,3
