cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8a,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8a,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8a,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8a,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8a,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9m,p9m_a,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
01,0517,11A152,09,40185,2,1,0,01,0,0,0,0,0,2,1,2,2,1,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,1,2,2,1,2,2,2,2, ,2,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,1,1,2,1,2, ,2,0,0,0,0,0,9930,48,1,00, 
01,0517,11A152,09,40185,3,1,0,01,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,1,1,2,2,4, ,2,0,0,0,0,0,8447,78,2,00, 
01,0517,11A152,09,40185,1,1,0,02,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,1,1,2,2,2, ,2,0,0,0,0,0,4,4,4,4,4,2,2,2,9,2,1,2,1,1,2,1,4, ,2,0,0,0,0,0,16249,39,2,03,3
01,0517,12A155,09,40188,1,1,0,01,1,0,0,0,2,1,1,1,1,1,1,2,1,2,1,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,1,2,1,2,2,2,2,2, ,2,1,2,2,2,1,1,1,2, ,2,1,2,2,2,2,2,2,2, ,2,200,150,0,100,50,1,2,4,2,2,1,9,1,9,2,1,2,1,1,2,2,4, ,1,1,2,1,1,1,26472,70,1,07,5
01,0517,12A155,09,40188,3,1,0,01,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,1,2,2,2,5,QUE SEAN GRATUITOS,2,0,0,0,0,0,8942,53,1,06,3
01,0517,12A155,09,40188,4,1,0,02,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,0,0,0,0,0,3,4,4,4,4,1,2,1,9,2,1,1,1,1,9,1,4, ,1,1,2,1,1,1,12275,57,2,07,5
01,0517,12A155,09,40188,2,1,0,01,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,2,2,2,2,5,QUE SEAN GRATUITOS,2,0,0,0,0,0,6138,63,2,00, 
01,0517,11A155,09,40189,3,1,0,05,0,2,2,0,10,1,1,1,1,1,2,1,2,2,1,2,2,2, ,2,1,2,2,2,1,2,2,2, ,2,2,1,2,2,1,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,1,2,2,1,2,1,2, ,2,100,100,100,100,100,2,2,2,3,1,2,2,2,2,2,1,1,1,1,9,2,3, ,1,1,1,1,1,1,44931,32,2,07,4
01,0517,11A155,09,40189,4,1,0,01,0,2,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2, ,1,1,2,2,2,1,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,1,2,2,1,2,2,2, ,2,200,200,100,100,100,3,1,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,1,1,1,1,1,9483,73,1,02,6
01,0517,11A155,09,40189,1,1,1,01,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,2,2,1,1,2,2,2,2, ,2,2,1,2,2,1,1,2,2, ,2,50,100,50,100,50,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,1,2,2,1,2,8174,75,2,02,6
01,0517,11A155,09,40189,2,1,0,02,0,0,0,0,0,1,1,1,2,1,2,2,2,2,1,2,2,2, ,2,2,2,2,2,1,2,1,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,1,2,1,2, ,2,100,200,100,100,70,2,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,2,2,2,1,2,20540,54,2,03,3
01,0517,12A155,09,40190,4,1,0,01,0,0,0,3,4,1,1,1,1,1,2,1,2,2,2,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,1,1,2, ,2,200,200,80,60,70,3,3,3,2,2,2,2,1,2,2,1,1,1,2,2,2,4, ,1,2,2,1,1,1,13786,40,1,04,3
01,0517,12A155,09,40190,1,1,0,03,0,2,0,2,6,1,1,2,1,1,2,2,2,2,2,1,1,2, ,2,2,2,1,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,2,1,2,2,2,2,1,2, ,2,300,150,50,80,60,3,2,3,2,2,1,2,2,2,2,1,1,1,1,2,2,2, ,1,2,2,1,1,2,28434,19,1,04,3
01,0517,12A155,09,40190,2,1,0,02,0,0,0,0,0,1,1,2,1,1,2,1,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,2,1,2,2,2,1,2,2, ,2,50,50,0,40,30,3,3,4,3,3,2,2,2,2,2,1,1,1,2,2,2,2, ,1,2,2,2,1,1,15022,54,1,07,4
01,0517,12A155,09,40190,3,1,0,01,0,5,0,0,10,1,1,2,1,1,2,2,2,2,1,1,2,2, ,2,2,2,1,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,1,2,2,2,2,2, ,2,2,1,2,2,2,1,2,2, ,2,170,130,30,40,60,3,1,3,3,2,2,2,2,2,2,1,1,1,1,2,2,4, ,1,2,2,2,1,1,15877,26,1,03,3
01,0517,12A155,09,40197,4,1,0,02,0,3,0,0,8,1,1,2,2,1,2,2,2,2,1,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,1,2,2,2,1,2,2, ,2,150,150,50,0,60,3,2,3,3,1,1,2,2,2,2,1,1,1,1,2,2,2, ,1,2,2,2,1,2,18621,19,2,03,3
01,0517,12A155,09,40197,3,1,0,02,0,0,0,0,0,1,1,2,2,1,2,2,2,2,1,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,1,1,2,2, ,2,100,100,0,0,50,3,3,4,4,2,2,2,2,2,2,1,2,2,2,2,2,4, ,1,2,2,2,1,1,25952,57,2,03,3
01,0517,12A155,09,40197,2,1,0,01,0,0,0,0,0,1,1,2,2,1,2,2,2,2,1,1,2,2, ,2,2,2,2,2,1,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,1,2,2,2,1,2,2, ,2,150,100,0,0,40,3,2,4,4,3,2,2,2,2,2,1,1,1,2,2,2,2, ,1,2,2,2,1,1,6735,53,2,04,3
01,0517,11A152,09,40227,2,1,0,02,0,0,0,0,7,2,1,2,1,1,2,2,2,2,1,2,2,2, ,2,2,2,2,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,1,2,2,1,2,2,2, ,2,1,1,2,2,2,2,2,2, ,2,99999,99999,99999,200,40,3,3,3,3,2,1,1,2,2,2,1,2,2,2,2,1,2, ,1,2,2,2,1,1,17840,47,2,03,3
01,0517,11A152,09,40227,4,1,0,01,4,4,2,6,11,1,1,1,1,1,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,500,600,300,550,70,2,2,3,2,1,1,1,1,1,2,1,2,1,1,1,1,3, ,1,1,1,1,1,1,8221,20,2,07,2
01,0517,11A152,09,40227,3,1,0,01,0,0,0,0,0,1,2,2,1,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,1,2,2,2,2,2,2, ,2,99999,99999,99999,99999,35,4,4,4,4,3,2,2,2,2,2,1,2,2,2,2,2,4, ,1,2,2,2,1,1,8236,71,1,02,2
01,0517,11A152,09,40227,1,1,0,02,1,0,2,2,10,1,1,1,1,1,2,1,1,2,2,2,2,2, ,2,2,2,2,1,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,2,1,1,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2, ,2,200,99999,50,250,40,3,3,3,3,2,1,1,2,2,2,1,2,1,1,2,1,2, ,1,2,2,2,1,1,13656,36,2,03,3
