cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8a,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8a,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8a,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8a,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8a,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9m,p9m_a,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
01,0517,13A152,09,40137,2,1,0,03,1,0,0,3,5,1,1,1,1,1,2,2,2,1,2,2,1,2, ,2,2,2,2,2,1,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,1,2,2,2,2,2,1,2, ,2,2,2,2,1,2,2,1,2, ,2,250,300,100,50,70,2,2,3,2,1,2,2,2,2,2,1,1,1,1,2,1,2, ,1,1,2,1,1,1,42196,22,1,06,2
01,0517,13A152,09,40137,3,1,1,02,0,0,1,3,4,1,1,1,1,1,2,2,2,2,2,2,2,2, ,1,2,2,2,1,2,2,1,2, ,2,1,2,2,2,2,2,2,2, ,2,2,2,1,2,2,2,1,2, ,2,2,2,2,2,1,2,1,2, ,2,200,300,0,30,50,3,3,3,2,2,2,1,2,2,2,1,2,1,1,2,1,2, ,1,1,2,2,1,1,23015,36,1,04,3
01,0517,13A152,09,40137,4,1,1,04,0,0,0,0,5,1,1,1,1,1,2,2,2,2,1,2,1,2, ,2,2,2,2,1,1,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2,1,2,2,2,2,2,1,2, ,2,2,2,2,1,2,2,1,2, ,2,200,200,150,50,50,3,2,3,2,2,2,1,2,2,2,1,2,1,1,2,1,2, ,1,1,2,2,1,1,20517,37,2,04,1
01,0517,13A152,09,40137,1,1,0,01,0,2,0,3,6,1,1,1,1,1,2,2,2,2,1,1,1,2, ,2,2,2,2,1,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,1,2,2,2,1,2, ,2,2,2,2,1,1,2,1,2, ,2,250,1000,150,100,70,3,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,4, ,1,1,2,1,1,1,17671,30,1,07,6
01,0517,11A152,09,40180,1,1,0,02,0,0,0,0,0,2,1,2,2,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2, ,2,0,0,0,0,0,4,3,4,4,3,2,2,2,2,2,2,0,0,0,0,0,2, ,1,2,2,2,2,2,23267,59,2,00, 
01,0517,11A152,09,40180,2,1,0,02,0,0,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,1,2,2,2, ,2,50,50,50,50,50,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,2,2,2,1,1,14418,72,2,02,3
01,0517,11A152,09,40180,4,1,1,01,0,1,0,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2, ,2,1,2,2,1,1,2,2,2, ,2,2,2,2,2,1,2,2,2, ,2,1,2,2,2,2,2,2,2, ,2,1,1,2,2,1,2,2,2, ,2,100,250,100,50,100,2,1,2,3,1,2,2,2,2,2,1,1,2,2,9,2,1, ,1,2,2,2,1,1,13866,41,2,03,3
01,0517,11A152,09,40180,3,1,0,03,0,0,0,0,3,1,1,1,1,1,2,1,2,2,1,2,1,2, ,2,1,2,2,2,1,2,1,2, ,2,2,1,2,2,1,2,1,2, ,2,2,2,1,1,2,2,2,2, ,2,1,2,2,2,1,2,1,2, ,2,200,300,200,150,100,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,1,2, ,1,1,1,1,1,1,25043,21,2,07,1
01,0517,11A152,09,40182,3,1,0,03,0,1,0,0,2,1,1,2,2,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,1,2,2,2,1,2,2, ,2,200,100,0,30,45,3,2,4,3,2,2,2,2,2,2,1,1,1,1,2,1,2, ,1,2,2,1,1,1,30653,37,1,03,3
01,0517,11A152,09,40182,4,1,0,01,0,0,0,0,0,2,1,2,2,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,1,2,2, ,2,0,50,0,0,20,4,3,4,4,3,2,2,2,2,2,1,2,2,2,2,2,2, ,1,2,2,2,1,2,58456,46,1,02,6
