Country, Didn't attend,
Argentina,52,
Bolivia,68,
Brasil,68,
Colombia,68,
Costa Rica,49,
Chile,57,
Ecuador,53,
El Salvador,70,
Guatemala,77,
Honduras,80,
Mexico,62,
Nicaragua,82,
Paraguay,78,
Perú,60,
Uruguay,61,
Venezuela,61,
