upm,viv_sel,hogar,n_ren,pmvi_1,pmvi_2,pmvi_3,pm1_1,pm1_2,pm1_3,pm1_4,pm1_5_1,pm1_5_2,pm1_5_3,pm1_5_4,pm1_6_1,pm1_6_2,pm1_6_3,pm1_6_4,pm1_6_5,pm1_6_6,pm1_6_7,pm1_6_8,pm1_6_9,pm8_1_1,pm8_1_2,pm8_1_3,pm8_1_4,pm8_1_5,pm8_1_6,pm8_1_7,pm8_2,pm8_3,pm8_4_1,pm8_5_1_1,pm8_5_1_4,pm8_5_1_5,pm8_5_1_6,pm8_4_2,pm8_5_2_1,pm8_5_2_4,pm8_5_2_5,pm8_5_2_6,pm8_4_3,pm8_5_3_1,pm8_5_3_4,pm8_5_3_5,pm8_5_3_6,pm8_4_4,pm8_5_4_1,pm8_5_4_4,pm8_5_4_5,pm8_5_4_6,pm8_4_5,pm8_5_5_1,pm8_5_5_4,pm8_5_5_5,pm8_5_5_6,pm8_6_01,pm8_6_02,pm8_6_03,pm8_6_04,pm8_6_05,pm8_6_06,pm8_6_07,pm8_6_08,pm8_6_09,pm8_6_10,pm8_7_1,pm8_7_2,pm8_7_3,pm8_7_4,pm8_7_5,pm8_7_6,pm8_7_7,pm8_7_8,factor_per,upm_dis,est_dis,tloc,estrato,ent,sexo,edad
204094,1,1,2,,,,3,5,7,1,2,2,1,2,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3202,286,9,1,2,2,2,34
204094,1,1,3,,,,3,4,7,1,2,2,1,2,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3202,286,9,1,2,2,2,52
204200,2,1,1,,,,2,6,2,1,1,9,1,9,0,0,0,0,0,1,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,430,288,9,1,2,2,2,62
204200,2,1,2,,,,1,6,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,430,288,9,1,2,2,1,58
204694,2,1,6,,,,2,4,5,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,3,2,2,2,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,179,294,10,1,3,2,2,25
204903,4,1,1,1,2,,1,5,4,1,1,1,1,2,0,0,0,0,0,0,0,1,0,2,2,2,3,,2,3,,,8,,,,,2,,,,,1,2,1,2,2,2,,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3832,300,10,1,3,2,2,54
205061,3,1,1,1,1,,1,3,4,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,2,3,2,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,504,305,9,1,2,2,1,33
205316,1,1,1,,,,3,5,6,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,473,312,10,1,3,2,2,69
205399,4,1,1,1,1,,2,2,7,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,2,2,3,,2,2,5,4,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,567,314,9,1,2,2,2,68
205468,3,1,2,1,1,,4,3,5,1,2,9,1,1,0,0,0,0,1,0,0,0,0,2,2,2,1,,2,2,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,575,316,9,1,2,2,2,64
205468,3,1,3,1,2,,3,7,1,1,2,2,1,2,0,0,0,0,0,0,0,1,0,2,2,2,3,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,575,316,9,1,2,2,1,25
205468,4,1,1,1,1,,1,2,5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,575,316,9,1,2,2,1,36
205511,3,1,1,1,2,,4,1,5,1,2,2,1,2,0,0,0,0,1,0,0,0,0,2,1,2,3,,2,3,1,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,1,1,2,492,317,9,1,2,2,2,50
205552,1,1,1,,,,2,5,7,1,2,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,,,2,,,,,1,1,2,,2,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,295,318,9,1,2,2,1,18
205584,1,1,1,1,1,,4,5,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,2,3,2,3,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,303,319,9,1,2,2,1,41
205605,1,1,1,1,2,,3,6,5,1,2,2,1,2,0,0,0,0,0,0,0,1,0,3,3,2,3,,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,397,320,9,1,2,2,1,43
206072,2,1,1,,,,1,6,5,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,572,330,9,1,1,2,1,69
206072,2,1,2,1,2,,2,3,2,1,2,2,1,2,0,0,0,0,1,0,0,0,0,2,2,2,1,,2,2,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,633,330,9,1,1,2,2,50
